FDRID,BatchName,Guarantor1,Quiet_Enjoyment1,Business_Interruption_Insurance1,Default_Interest_and_Late_Charges1,Renewal_option1,Termination1,Due_date1,Late_Fee1,Default_Interest_charges1,Renewal_option_Stated_in_the_Lease1,Renewal_option_Time_is_of_the_essence1,Termination_Stated_in_the_Lease1,Termination_Time_is_of_the_essence1
YA-025,Batch_2020-06-01_11-56-58,Not Defined,"Tenant, upon paying all sums due from Tenant to Landlord and performing and observing all of the terms, covenants and conditions of this Lease on Tenant's part to be perfonned and observed, shall peaceably and quietly have, hold and enjoy the Leased Premises during the Lease Term without interference from Landlord or others claiming through Landlord , subject nevertheless to the terms of this Lease and to any mortgages, ground or underlying leases, agreements and encumbrances to which this Lease is or may be subordinated.",Business interruption insurance in amounts sufficient to pay for Tenant's expenses and lost income covering a one (I) year period ,A rate equal to the lesser of (i) one and one half percent (1.5%) per month from the due date until paid or (ii) the highest rate permitted under applicable law. ,"Tenant shall have the right and option to extend the Lease Term for two (2) additional terms of five (5) Lease Years each (the ""First Option Term"", ""Second Option Term"" respectively, individually an ""Option Term"" and collectively, the ""Option Terms"") provided that (i) Tenant shall give written  notice (the ""Notice"") to Landlord of the exercise of each of the Option Terms no earlier than the date that is three hundred sixty five (365) days prior to the expiration of the initial Lease Term hereof (or the applicable Option Term), and no later than the date that is one hundred eighty (180) days prior to the expiration of the initial Lease Term hereof (or the applicable Option Term), time being of the essence thereof, and (ii) Tenant shall not be in default of any of its obligations hereunder after notice from Landlord and expiration of applicable cure period. If the applicable option is duly exercised as aforesaid and no such uncured default exists, then the Lease Term shall be extended for the applicable Option Term without the requirement of any further instrument upon all of the same terms and provisions contained in this Lease,  except that Minimum Rent shall be due and payable at the following rates:  First Option Term: The annual Minimum Rent for the first(!'') full Lease Year of the First Option Term through the second (2'') full Lease Year of the First Option Term shall be the annual Minimum Rent for the tenth (1Oth) full Lease Year of the initial Lease Term. The Minimum Rent shall be increased on the first day of the third (3'') full Lease Year of the First Option Term by the lesser of (x) nine percent (9%) or (y) the cumulative percentage increase in the ""CPI"", as defined below, from the beginning of the tenth (JOtl') full Lease Year of the initial Lease Term until the end of the second (2'') full Lease Year of the First Option Term.  Second Option Term: The annual Minimum Rent for the first (I"") full Lease Year of the Second Option Term shall be equal to the annual Minimum Rent payable for the last full Lease Year of the First Option Term increased by the lesser of (x) nine percent (9%) or (y) the cumulative percentage increase in the ""CPI"", as defined  below,  from  the beginning of the third (3'') full Lease Year of the First Option Term Lease Term until the end of the fifth (5th) full Lease Year of the First Option Term. The annual Minimum Rent shall be increased again on the first day of the fourth (4th) full Lease Year of the Second Option Term by the lesser of nine percent (9%) or (y) the cumulative percentage increase in the ""CPI"", as defined below, from the beginning of the first (1"") full Lease Year of the Second Option Term until the end of the third (3""') full Lease Year of the Second Option Term. ",Not Defined,shall be due and payable on or before the tenth (I Oth) day after such late charge is imposed.,(5%) of the monthly Rent ,A rate equal to the lesser of (i) one and one half percent (1.5%) per month from the due date until paid or (ii) the highest rate permitted under applicable law.,OPTION TERMS,"Time is of the essence in this Lease, and all provisions herein relating thereto shall be strictly construed.",Not Defined,Not Defined
CATEST20,Batch_2020-06-01_11-56-58,Not Defined,Not Defined,Not Defined,:- If the rent or any part thereof shall remain unpaid for Fourteen (14) days after becoming payable to pay interest thereon at the rate of twelve per cent (12%) per annum from its due date until the date of payment as well as all reasonable charges whether legal (on a solicitor and client basis) or otherwise incurred by the Landlord in the recovery of the same but nothing herein contained shall prejudice any other right or remedy which the Landlord may have under this Agreement or at law or in equity arising out of the Tenant's failure to pay rent promptly. ,Not Defined,Not Defined,1st day of January 2016 and thereafter on the first day of each calendar month.,If the rent or any part thereof shall remain unpaid for Fourteen (14) days after becoming payable to pay interest thereon at the rate of twelve per cent (12%) per annum from its due date until the date of payment as well as all reasonable charges whether legal (on a solicitor and client basis) or otherwise incurred by the Landlord in the recovery of the same but nothing herein contained shall prejudice any other right or remedy which the Landlord may have under this Agreement or at law or in equity arising out of the Tenant's failure to pay rent promptly.,Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
CATEST21,Batch_2020-06-01_11-56-58,Not Defined,"That the Tenant duly paying the Rent, Service Charge Taxes and any other monies hereby reserved and observing and performing the several provisions and stipulations hereinbefore on the Tenant's part contained shall peaceably hold and enjoy the Demised Premises during the Term without any disturbance by the Landlord or any person lawfully claiming under or in trust for the Landlord",Not Defined,"Without prejudice to the Landlord's rights reserved under Clause 5.3 hereinafter appearing the Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such monies fall due for payment to the date on which such monies are paid to the Landlord. The Landlord shall be entitled to recover such interest from the Tenant as If such interest were rent in arrears.TA OFF/CE It is hereby expressly agreed that all monies payable under this Agreement by the Tenant to the Landlord, including but not limited to Rent, Service Charge, Deposit and adjustments thereto, GST, Taxes and interest payable on late payment shall be deemed to be rent recoverable in the manner provided in the Distress Act (Cap. 84) . For the purposes of the said Act and for the purposes of any right or remedy which the Landlord wishes to exercise or pursue, all such monies shall be deemed to be rent in arrears if not paid in advance or at the times and in the manner as provided in this Agreement. All costs and expenses (including all legal198#5093021V6 E16021714764049_v{15)_Lease (IWOV)- Travelex Holdings (S) Pte Ud- #B1-41 -Lease- Office- Travelex Holdings (S)Pte Ltd #81-41- Twr 1costs and charges on a full indemnity basis) incurred pursuant to, or in any way arising In relation to, any step taken by the Landlord in the exercise of its rights under the said Act, or pursuant to any other right or remedy available to the Landlord, shall be payable by the Tenant, and, in so far as such sums are not recovered under such distrain, they shall be recoverable as a debt from the Tenant to the Landlord. ","4.8        Option to Renew  The Landlord shall grant to the Tenant an option to renew this lease granted hereunder in respect of the whole of the Demised Premises (and not parts thereof) on the terms and conditions below:-  (0 The option to renew will be for a further term for a period specified In the First Schedule (''the Renewed Term"") commencing on the day after the expiry of the Term. To exercise the option to renew, the Tenant shall serve on the Landlord a written renewal notice (""Tenant's Renewal Notice"") not more than six (6) months and not less than five (5) months prior to the expiry of the Term (time being of the essence).   TAOFFICE Upon the Tenant's exercise of the option to renew in compliance with Clause 4.8(i), the Landlord shall offer to the Tenant the Renewed Term at a revised Rent (including Service Charge) as specified in the First Schedule and otherwise on similar terms and conditions as herein contained except that such terms may be modified or  updated as  reasonably determined  by the  Landlord  based on18B#5093021v6 E16021714764049_v(15)_Lease (IWOV)- Travelex Holdings (S) Pte Ltd - #81-41 - Lease - Office- Travelex Holdings (S)Pte Ltd #61-41- Twr 1its then applicable specimen Lease for the Building and shall  exclude  any further option to renew unless the Landlord otherwise decides. Provided that if the Tenant does not accept the Landlord's said offer of the Renewed Term w ithin the time reasonably prescribed by the Landlord (which shall not be less than twenty eight (28) days), then this option shall lapse and be of no further effect. Provided Further that the grant of the Renewed Term shall be subject to:-there being no breach or non-observance of any of the covenants on the part of the Tenant herein contained at any time during the Term or at the time of its expiry;the execution by the Tenant of a fresh Lease for the Renewed Term (to be prepared by the Landlord at the Tenant's expense) not later than three (3) months before the expiration of the Term or the date falling fourteen (14) days from the Tenant's receipt of the fresh Lease from the Landlord or its solicitors (whichever is later), time being of the essence;compliance with all the provisions of this Clause 4.8;payment by the Tenant of the Landlord's reasonable legal costs and expenses for the preparation of the fresh lease for the Renewed Term, the stamp duty thereon and any additional Deposit due under the Renewed Term upon the execution of the lease for the Renewed Term.The option to renew shall lapse and be of no effect in the event of the Tenant's failure to comply with all the provisions of this Clause 4.8. In this connection, the Landlord shall not be taken to have waived its rights to compliance with this Clause or to have acquiesced to any extensions of the Term or any renewal of the lease granted hereunder unless such waiver or acquiescence is in writing. ",Not Defined,on the first day of each month,Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain  unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such monies fall due for payment to the date on which such moni es are paid to the Landlord.  The Landlord shall be entitled to recover such interest from the Tenant as If such interest were rent in arrears.,Not Defined,Option to Renew,time being of the essence,Not Defined,Not Defined
CATEST22,Batch_2020-06-01_11-56-58,Not Defined,"That the Tenant duly paying the Rent, Service Charge Taxes and any other monies hereby reserved and observing and performing the several provisions and stipulations hereinbefore on the  Tenant's part conta in ed shall peaceably hold and enjoy the Demised Premises during the  Term without any disturbance by the Landlord or any person lawfully claiming under or in  trust for the Landlord.",Not Defined,Without prejudice to the Landlord's rights reserved under Clause 5.3 hereinafter appearing the Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such monies fall due for payment to the date on which such monies are paid to the Landlord. The Landlord shall be entitled to recover such interest from the Tenant as if such interest were rent in arrears. ,"The Landlord shall grant to the Tenant an option to renew this lease granted hereunder in respect of the whole of the Demised Premises (and not parts thereof) on the terms and conditions below:- The option to renew will be for a further term for a period specified in Schedule 1(""the Renewed Term"") commencing on the day after the expiry of the Term . To exercise the option to renew, the Tenant shall serve on the Landlord a writtenrenewal notice (""Tenant's Renewal Notice"") not more than six (6) months and not less than five (5) months prior to the expiry of the Term (time being of the essence).Upon the Tenant's exercise of the option to renew in compliance with Clause 4.8(i), the Landlord shall offer to the Tenant the Renewed Term at a revised Rent to be determined by the Landlord  based on the prevailing market rent, at a revised Service Charge to be determined by the Landlord and on such terms and conditions as the Landlord may determine, which terms shall exclude any further option to renew unless the Landlord otherwise decides . Provided that if the Tenant does not accept the Landlord's said offer of the Renewed Term within the time prescribed by the Landlord, then this option shall lapse and be of no further effect. Provided Further that the grant of the Renewed Term shall be subject to:-there being no breach or non-observance of any of the covenants on the part of the Tenant herein contained at any time during the Term or at the time of its expiry;the execution by the Tenant of a fresh Lease for the Renewed Term (to be prepared by the Landlord at the Tenant's expense) not later than three (3) months before the expiration of the Term or the date falling fourteen (14) days from the Tenant's receipt of the fresh Lease from the Landlord or its solicitors (whichever is later), time being of the essence ;compliance with all the provisions of this Clause 4.8;payment by the Tenant of the Landlord's reasonable legal costs and expenses for the preparation of the fresh lease for the Renewed Term, the stamp duty thereon and any additional Deposit due under the Renewed Term upon the execution of the lease for the Renewed Term.The option to renew shall lapse and be of no effect in the event of the Tenant's failure to comply with all the provisions of this Clause 4.8. In this connection , the Landlord shall not be taken to have waived its rights to compliance with this Clause or to have acquiesced to any extensions of the Term or any renewal of the lease granted hereunder unless such waiver or acquiescence is in writing ",Not Defined,on the first day of each month,Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such m onies fall due for payment to the date on which such monies are paid to the Landlord. The Landlord shall be entitled to recover such interest from the Tenant as if such interest were rent in arrears.,Not Defined,Option to Renew,time being of the essence,Not Defined,Not Defined
CATEST23,Batch_2020-06-01_11-56-58,Not Defined,Not Defined,Not Defined,Without prejudice to the Landlord's rights reserved under Clause 5.3 hereinafter appearing the Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such monies fall due for payment to the date on which such monies are paid to the Landlord. The Landlord shall be entitled to recover such interest from the Tenant as if such interest were rent in arrears. ,"The Landlord shall grant to the Tenant an option to renew this lease granted hereunder in respect of the whole of the Demised Premises (and not parts thereof) on the terms and conditions below:- The option to renew will be for a further term for a period specified  in the First Schedule ..f""the Renewed Term"") commencing on the day after the expiry of the Term. To exercise the option to renew, the Tenant shall serve on the Landlord a written renewal notice (""Tenant's Renewal Notice"") not more than six (6) months and not less than five (5) months prior to the expiry of the Term (time being of the essence).Upon the Tenant's exercise of the option to renew in compliance with Clause 4.8(i), the Landlord shall offer to the Tenant the Renewed Term at a revised Rent to be determined by the Landlord based on the prevailing market rent, at a revised Service Charge to be determined by the Landlord and on such terms and conditions as the Landlord may determine, which terms shall exclude any further option to renew unless the Landlord otherwise decides. Provided that if the Tenant does not accept the Landlord's said offer of the Renewed Term within the time prescribed by the Landlord, then this option shall lapse and be of no further effect. Provided Further that the grant of the Renewed Term shall be subject to:-there being no breach or non-observance of any of the covenants on the part of the Tenant herein contained at any time during the Term or at the time of its expiry;the execution by the Tenant of a fresh Lease for the Renewed Term (to be prepared by the Landlord at the Tenant's expense) not later than three (3) months before the expiration of the Term or the date falling fourteen (14) days from the Tenant's receipt of the fresh Lease from the Landlord or its solicitors (whichever is later) , time being of tl:!e essence;compliance with all the provisions of this Clause 4.8;payment by the Tenant of the Landlord's reasonable legal costs and expenses for the preparation of  the fresh lease for the Renewed Term, the stamp duty thereon and any additional Deposit due under the Renewed Term upon the execution of the lease for the Renewed Term .The  option  to  renew  shall  lapse  and  be of  no  effect  in the  event  of  the Tenant's failure to comply with all the provisions of this Clause 4.8. In this connection, the Landlord sha!! not be taken  to  have waived  its  rights  to compliance with this Clause or to have acquiesced to any extensions of the Term  or any renewal of the lease granted hereunder unless such waiver or acquiescence is in writing . ",Not Defined,on the first day of each month,Landlord shall be entitled to charge interest at the rate of one per cent (1%) per month for late payment of all monies due under this Agreement if the said monies remain unpaid for seven (7) days after its due date (whether formally demanded or not) such interest to be payable from day to day commencing from the date on which such monies fall due for payment to the date on which such monies are paid to the Landlord. The Landlord shall be entitled to recover such interest from the Tenant as if such interest were rent in arrears.,Not Defined,Option to Renew,time being of the essence,Not Defined,Not Defined
CATEST24,Batch_2020-06-01_11-56-58,Not Defined,The Lessee upon paying the Rent and performing and observing its obligations under the Agreement shall peaceably hold and enjoy the Demised Premises without hindrance or interruption by the Lessor (except as provided herein) or by any persons claiming under the Lessor until the expiration or sooner termination of this Lease Agreement,Not Defined,"If the  Lessee  shall  be  in  arrears  of   any   7.1   Jika   Pihak   Penyewa   menunggak payment  due  under  this  Agreement   for   a       pembayaran       yang       jatuh       tempo period  of  more than  14 (fourteen)  days,  the    berdasarkan  Perjanjian  ini selama jangka Lessor   shall   charge   interest   at   2%   (two             waktu  lebih  dari  14  (empat  belas)  hari,percent) per month on the amount in arrears.  Such interest shall be computed from the date on which such monies have become due until they are paid to or (as the case may be) recovered in full by the Lessor, without prejudice to the right of the Lessor to apply, at its discretion, the Security Deposit against payment of such amount in arrears and to claim for any amount owing to it not covered by the Security Deposit ",The Lease period may be renewed for a further term at the Lessee's option by providing written notice to the Lessor not less than 90(ninety) days prior to the Lease expiry date. The rent for the renewal term shall be reviewed by the lessor in accordance with the prevailing market price.,Not Defined,"1st day of January, April, July   and    October    of    each    year","If the  Lessee  shall  be  in  arrears  of   any   7.1   Jika   Pihak   Penyewa   menunggak payment  due  under  this  Agreement   for   a       pembayaran       yang       jatuh       tempo period  of  more than  14 (fourteen)  days,  the    berdasarkan  Perjanjian  ini selama jangka Lessor   shall   charge   interest   at   2%   (two             waktu  lebih  dari  14  (empat  belas)  hari, percent) per month on the amount in arrears.  ",Not Defined,renewed ,Not Defined,Not Defined,Not Defined
21101,Batch_2020-06-01_11-56-58,Not Defined,"Upon payment by Tenant of the Rent, and so long as an Event of Default has not occurred, Tenant shall peaceably and quietly hold and enjoy the Premises for the Term without hindrance or interruption by Landlord or any other person or entity lawfully or equitably claiming by, through or under Landlord, subject, nevertheless, to the terms and conditions of this Lease, and any recorded instrument affecting the Premises and any mortgage, deed of trust or ground lease to which this Lease is subordinate. ",Not Defined,"The Minimum Rent shall be payable by Tenant in equal consecutive monthly installments, on or before the first day of each month, in advance, to Landlord, at the address set forth in Section 1.01(!), or such other place as Landlord may designate, such payments to be made without any prior demand and without any deductions or setoff, except as otherwise expressly set forth herein. If the Term commences on a day other than the first day of a calendar month, then the Minimum Rent for such month shall be prorated on a daily basis. ","So long as there is no Event of Default either at the time of exercise or at the time the Extension Period commences, Tenant will have the option to extend the Term for one additional period of five years (the ""Extension Period"") on the same terms, covenants, and conditions of this Lease, except that the Minimum Rent during the Extension Period will be as set forth in Section 1.01(k), and Landlord will have no obligation to improve the Premises or to contribute to their improvement. Tenant will exercise its option (if at all) by giving Landlord irrevocable written notice (the ""Option Notice"") at least 180 days prior to the expiration of the initial Term.","If Tenant (i) conducted its business according to this Lease for the entire fifth Lease Year andGross Sales in that Lease Year as shown in the annual report by Section 3.05 are fewer than$800,000.00, Tenant may terminate this Lease as of a date selected by Tenant (the ""Termination Date"") and set forth in a written notice given to Landlord within 90 days after the end of the fifth Lease Year.The Termination Date will be no less than ninety (90) days after the date of Tenant's notice. On or before the Termination Date, as a condition of Tenant's election, Tenant will pay Landlord in bank funds the unamortized portion of the commission paid by Landlord to the Brokers in connection with this Lease as of the Termination Date as that amount is determined and certified to Tenant by Landlord. The amortization will be on a straight-line basis over the Term.   Default. (c) Landlord may reject Tenant's election to terminate this Lease if there is an existing Event of  If Landlord does not reject Tenant's election to terminate this Lease, Tenant will cure any Event of Default under this Lease that exists on the Termination Date, and Tenant's obligation to cure any such default within the period of time specified in this Lease will survive the Termination Date.On or prior to the Termination Date, Tenant will  surrender possession of the Premises to Landlord in accordance with the provisions of this Lease, as if the Termination Date were the Expiration Date of this Lease.{003815/ 00036/ 00226345 0  4}                                              5111912016 4:16PMJ::.x..cution 'G<;J'yUpon tennination, Landlord and Tenant will be relieved of their obligations under this Lease, except for those accruing prior to the Termination Date or those that survive this Least by its terms or by Applicable Law. ","on or before the first day of each month, in advance,","Tenant shall immediately pay, as Additional Rent, a service charge in the amount of Two Hundred Fifty Dollars ($250.00), not as a penalty but as liquidated damages to compensate Landlord for increased administrative expenses.","shall bear interest at the lesser of (i) ten percent (10%) per annum, or (ii) the highest rate then allowed under the usury laws of the State of Colorado, from the date due until paid.",Option to Extend,Not Defined,Option to Terminate,Not Defined
21802,Batch_2020-06-01_11-56-58,Not Defined,"Landlord has the right, power and authority to enter into this Lease. Terrant, or any permitted assignee or sublessee of Tenant, upon the payment of the rental and performance ofTerrant's other covenants, shall and may peaceably and quietly have, hold and enjoy the Leased Premises during the Term. This covenant shall be construed as a covenant running with  the land.  It  shall not be construed as a personal covenant of Landlord."," Loss of Business Income Insurance, including Extra Expense and Contingent Business income coverage. The insurance limits for this insurance shall be based upon a minimum of 12 months business income with a 60-day extended period of indemnity endorsement. ","  The Minimum Annual Rental shall be payable in 12 equal monthly instalhnents in advance, upon the I st day of each and every month during the periods of time specified in the Reference Provisions.  If under ARTICLE 3 rental begins on a day other than the  1st day of a month, the monthly installment  of Minimum Annual Rental for the period from the beginning date until the  1st day of the month next following shall be prorated accordingly.   All past due rental, additional rental, and other sums due Landlord under this Lease shall bear interest from !lie Elae Elate five (5) days after Land1ord notice until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate"").   The interest shall be deemed to be additional rental. All rental provided for in this Lease shall be paid to Landlord at the address in the Reference Provisions or to another payee or address that Landlord designates.  ""Prime Rate"" wherever it appears in the Lease means the prime rate (or base rate) reported in the Money Rates colunm or section of The Wall Street Journal as being the base rate on corporate loans at large U.S. money center co=ercial banks (whether or not that rate has been charged by any bank).  If The Wall Street Journal ceases publication of the prime rate, Prime Rate shall mean the highest rate charged by Chase (or its successor) on short term unsecured loans to its most creditworthy large corporate borrowers.  If The Wall Street Journal (i) publishes more than one prime rate or base rate, the higher or highest of the rates shall apply, or (ii) publishes a retraction or correction of that rate, the rate reported in that retraction or correction shall apply. ",Not Defined," If Tenant's Net Sales (as defined in ARTICLE 5) made from the Leased Premises fail to exceed $570,000.00 (the ""Threshold Amount"") beginning in the 49'? calendar month and ending on the 60'"" calendar month after tbe date tbe Tenant opens for business to tbe public in the Leased Premises (the ""Measuring Period"") Tenant shall have the right to terminate this Lease upon 120 days advance written notice to the other party given any time within 30 days following the end of the Measuring Period. Notwithstanding the above,  if  Tenant's Net Sales made from tbe Leased  Premises exceed the Threshold Amount dwing the Measuring Period the aforesaid right becomes null and void. In  the event Tenant exercises its Termination Right, Tenant shall repay to Landlord 50ø/0  of the unamortized Tenant Allowance and Brokerage Commission.","in advance, upon the I st day of each and every month",Not Defined,", at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate""). ",Not Defined,Not Defined,Termination Right: ,Not Defined
22302,Batch_2020-06-01_11-56-58,Not Defined,"Provided Tenant is not in default under this Lease beyond any applicable notice and cure period, Tenant shall, subject to the terms of this Lease, at all times during the Term have the peaceable and quiet enjoyment and possession of the Premises.","Tenant shall procure and maintain throughout the Term from and after the date possession. of the Premises is delivered to Tenant, at its sole expense, (a) Commercial General Liability Insurance insuring Landlord and Tenant against all claims arising out  of Tenant's use or occupancy of the Premises or the condition of the Premises, in an amount not less than $1,000,000.00 per occurrence and  $2,000,000.00  aggregate  for  both  premises operations and products/completed operations and at least $500,000 for fire legal liability, (b) property insurance on a ""special form"" causes of loss coverage basis, excluding earthquake and flood, covering the replacement cost of all alterations, additions, partitions, improvements, and personal  property  installed  in the Premises,  (c) business  income insurance  not to  exceed twelve(12) months,  (d) insurance covering glass breakage in the Premises; provided that Tenant may self-insure plate glass; (e) Workers Compensation in an amount not less than the statutory minimum and including Employers Liability in an amount not less than $1,000,000.00, (f) umbrella liability in amount not less than $3,000,000.00 (to cover at least all risks described in the Commercial General Liability policy), and (g) comprehensive automobile liability, bodily injury and property damage in an amount not less than $1,000,000.00 combined single limit, including non-owned and hired automobile liability.  All policies of insurance under clauses (a), (f) and (g) shall name Landlord, and any other entity as  by Landlord, as an additional named insured. All policies of insurance shall be on an occurrence (as opposed to a claims made) basis; be issued by an insurance company authorized to do business in the state and having a rating of not less than ""A..VII"" as rated in the most current available Best's Key Rating Guide; provide that the insurance shall endeavor to give Landlord 30 days prior notice of cancellation; and provide primary coverage to Landlord when any policy issued to Landlord is similar or duplicate in coverage (Landlord's policy shall be excess over Tenant's policies). Should the Tenant's operation include the serving of alcoholic beverages, liquor liability coverage will also be    in  such  coverages  as  Landlord  may  require  and  in  an  amount  of  at  least $1,000,000.00. Tenant shall deliver evidence satisfactory to Landlord of the insurance  hereunder prior to commencing Tenant's Work hereunder and not less than 10 days prior to each renewal of coverage.  Such evidence shall be in the form of, (a) a Certificate of Insurance, and (b) an Additional Insured Endorsement or a Blanket Additional Insured Endorsement.  If Tenant does not provide evidence of insurance in compliance with this Section 14.2 within the time  herein, and does not cure same within three business days after written notice, in addition to all other available remedies, Tenant shall pay Landlord $100.00 per day until such evidence is delivered.  ","The first Minimum Rent payment shall be due and payable on the Commencement Date, and subsequent Minimum Rent payments shall be due and payable, in advance, on or before the first day of each succeeding calendar month  during the Term; if the Commencement Date is other than the first day of a month, the initial Minimum Rent payment shall be appropriately prorated.","Tenant shall have the right to extend the term of this Lease set forth in Article 1 (the ""Original Term"") for two consecutive additional periods of five years each (the ""First Additional Term"" and the ""Second Additional Term"", as may sometimes be referred to herein collectively as the ""Additional Terms""). In order to exercise an option, Tenant must deliver to  Landlord written notice at least three hundred sixty five  (365) days prior to the expiration of the then  current Term, of its election to exercise its option, TIME BEING OF THE ESSENCE with respect to such  notice.    Such  notice  of  election  to  extend the  term  of the  Lease shall  be  irrevocable. . Except as specifically set forth herein, the Additional Terms shall be upon all of the terms and conditions of the Lease except that any articles which were intended to be one time, initial provisions or concessions (such as free Rent, Landlord Work, or a Tenant improvement allowance) shall be deemed to have been satisfied and shall not apply to the Additional Terms. Also, there shall be no option to extend the term of the Lease beyond the Second Additional Term. The exercise of the option for the First Additional Term is a condition precedent to the exercise of the option for the Second Additional Term.  Option Base Rent - First Additional  Term.     ","In the event the Tenant's Gross Sales during the fifth Lease Year are less than $1,000,000.00, then Tenant shall have a one-time right to terminate this Lease. The right to terminate this Lease shall be exercised by written notice (""Termination Notice"") to Landlord, not later than 60 days after the expiration of the fifth Lease Year. Upon delivery of the Termination Notice, this Lease shall terminate not earlier than 120 following receipt of the Termination Notice (the ""Termination Date""). Prior to the Termination Date, the Lease shall remain in full force and effect without modification of any kind, including, without limitation, Tenant's obligation to pay Rent. Tenant shall surrender the Premises on the Termination Date in such condition as this Lease requires upon the termination or expiration thereof.  On the Termination Date, Tenant shall pay Landlord a termination fee equal to the Unamortized Landlord Costs, and thereafter both Landlord and Tenant shall be relieved of all obligations which accrue under the Lease from and after the Termination Date. ""Unamortized Landlord Costs"" means the sum of the Tenant Finish Allowance paid to Tenant hereunder plus the commissions paid to brokers by Landlord on account of this Lease, multiplied by a fraction, the numerator of which is the number of months which would have been remaining in the initial Term of this Lease as of the effective date of the termination under this Article 31 had Tenant not terminated the Lease hereunder and the denominator of which is the total number of months in the initial Term. "," i n advance, on or before the first day of each succeeding calendar month ","The following shall be ""Events of úDefault"" by Tenant: The failure to pay rent or any other amount payable hereunder within 10 days after receiving notice thereof from Landlord; provided that after Landlord has given two such notices in any 12 month period, it shall not be  to give further notice under this Section, and any subsequent failure to pay during the Term hereof shall immediately be an Event of Default. ","shall bear interest at the lesser of the maximum rate permitted by law or 12% per year (the ""Default Rate"") from the date due until paid. ",Renewal Term,"Time is of the essence with respect to all provisions of this Lease, ",Sales Termination Right. ,Time is of the essence with respect to all provisions of this Lease
22401,Batch_2020-06-01_11-56-58,Not Defined," For so long as Tenant is not in default hereunder beyond any applicable notice and cure period, the Landlord warrants and represents that the Tenant shall have quiet and peaceful enjoyment of the Leased Premises during the Lease Temn without hindrance or ejection by persons lawfully claiming under Landlord, subject however, to the rights of any Landlord Mortgagee. ",Not Defined,"Tenant covenants and agrees to pay the Minimum Rent to Landlord, at the address set forth in Article XXII, in equal monthly installments on the first day of each calendar month, in advance , for each and every month in the Lease Term without demand, notice, setoff or offset. Upon the Commencement Date, Tenant will pay to Landlord the Minimum Rent for the first full calendar month of the Lease Term. If the Lease Term does not commence on the first day of a calendar month, Tenant will, in lieu of a full month's Minimum Rent, pay in advance a pro rata part of such sum as Minimum Rent for such partial month.",Not Defined,"Provided that (i) Tenant has continuously operated its business from the whole of the Leased Premises for the Permitted Use; (ii) the Leased Premises has been fully stocked and fully staffed with trained personnel for efficient service; (iii) Tenant is not in default of this Lease beyond an applicable notice and cure periods; and (iv) Tenant has not sublet the whole or any portion of the Leased Premises or assigned or otherwise transferred its interest under this Lease except for a Permitted Transfer, then if all such conditions are satisfied and Tenant's Gross Sales during the period from the thirty-sixth (36th) full calendar month through the forty-eighth (48th) full calendar month of the Lease Term (the ","in equal monthly installments on the first day of each calendar month, in advance",Tenant shall also pay to Landlord a ,"past due Rent and other past due payments, regardless of whether declared an Event of Default, shall bear interest from maturity at the Default Rate from the date any applicable cure period expires until paid. ",Not Defined,Not Defined,Early Termination,"In all instances where Landlord or Tenant is hereunder to pay any sum or do any act at a particular indicated time or within an indicated period, it is understood that time is of the essence"
